lemma,poscode,surface
select,2,select,selecting
create,2,create,creating
train,2,train,training
load,2,load,loading,upload,uploading
sign up,2,sign up,sign-up,signup,register,registering
import,2,import,importing,imported
add,2,add,adding
recover,2,recover,recovering
change,2,change,changing
build,2,build,building
log in,2,log in,login,logging in,sign in,signing in,sign-in,signin
connect,2,connect,connecting,connection,connections
deploy,2,deploy,deploying
set up,2,set up,setting up,setup,set-up
edit,2,edit,editing
exceed,2,exceed,exceeds,exceeded,exceeding
export,2,export,exporting
analyze,2,analyze,analyzing
download,2,download,downloading
access,2,access,accessing,acess
save,2,save,saving
initiate,2,initiate,initiating
prepare,2,prepare,preparing
request,2,request,requesting
write,2,write,writing
rename,2,rename,renaming
